,Data,Ultimo,10_giorni_precedenti_Ultimo,20_giorni_precedenti_Ultimo,30_giorni_precedenti_Ultimo
326,168.8904,386.96,368.57,380.29,390.45
327,168.91199999999998,389.83,372.19,380.52,388.46
328,168.97680000000003,388.06,372.39,380.8,384.2
329,168.9984,387.74,372.28,380.08,380.95
330,169.02,385.09,375.35,377.32,381.76
331,169.04160000000002,383.63,376.19,378.51,382.76
332,169.0632,379.43,374.96,383.25,379.25
333,169.128,378.57,377.49,375.74,379.02
334,169.1496,381.05,381.94,376.76,373.66
335,169.1712,376.65,382.79,371.62,375.34
336,169.19279999999998,377.63,386.96,368.57,380.29
337,169.21439999999998,382.29,389.83,372.19,380.52
338,169.2792,380.13,388.06,372.39,380.8
339,169.3008,378.59,387.74,372.28,380.08
340,169.32240000000002,375.09,385.09,375.35,377.32
341,169.344,375.42,383.63,376.19,378.51
342,169.3656,377.75,379.43,374.96,383.25
343,169.4304,370.94,378.57,377.49,375.74
344,169.452,370.65,381.05,381.94,376.76
345,169.4736,371.59,376.65,382.79,371.62
346,169.49519999999998,374.4,377.63,386.96,368.57
347,169.5168,371.16,382.29,389.83,372.19
348,169.5816,377.92,380.13,388.06,372.39
349,169.60320000000002,377.47,378.59,387.74,372.28
350,169.6248,373.33,375.09,385.09,375.35
351,169.668,374.08,375.42,383.63,376.19
352,169.7328,377.94,377.75,379.43,374.96
353,169.7544,376.11,370.94,378.57,377.49
354,169.77599999999998,375.74,370.65,381.05,381.94
355,169.7976,376.97,371.59,376.65,382.79
356,169.81920000000002,380.25,374.4,377.63,386.96
357,169.88400000000001,382.39,371.16,382.29,389.83
358,169.9056,381.54,377.92,380.13,388.06
359,169.9272,381.18,377.47,378.59,387.74
360,169.9488,385.37,373.33,375.09,385.09
361,169.9704,384.22,374.08,375.42,383.63
362,170.0352,382.88,377.94,377.75,379.43
363,170.05679999999998,379.42,376.11,370.94,378.57
364,170.0784,378.64,375.74,370.65,381.05
365,170.1,380.96,376.97,371.59,376.65
366,170.12159999999997,380.93,380.25,374.4,377.63
367,170.18640000000002,383.15,382.39,371.16,382.29
368,170.208,386.69,381.54,377.92,380.13
369,170.2296,387.81,381.18,377.47,378.59
370,170.2512,387.12,385.37,373.33,375.09
371,170.2728,387.18,384.22,374.08,375.42
372,170.33759999999998,385.06,382.88,377.94,377.75
373,170.3592,390.62,379.42,376.11,370.94
374,170.3808,390.56,378.64,375.74,370.65
375,170.40240000000003,389.32,380.96,376.97,371.59
376,170.42399999999998,387.12,380.93,380.25,374.4
377,170.4888,388.02,383.15,382.39,371.16
378,170.5104,389.62,386.69,381.54,377.92
379,170.532,389.9,387.81,381.18,377.47
380,170.5536,389.33,387.12,385.37,373.33
381,170.5752,385.58,387.18,384.22,374.08
382,170.64,376.47,385.06,382.88,377.94
383,170.6616,379.43,390.62,379.42,376.11
384,170.68320000000003,390.59,390.56,378.64,375.74
385,170.70479999999998,391.33,389.32,380.96,376.97
386,170.7264,394.17,387.12,380.93,380.25
387,170.7912,393.85,388.02,383.15,382.39
388,170.8128,393.06,389.62,386.69,381.54
389,170.8344,396.64,389.9,387.81,381.18
390,170.856,396.47,389.33,387.12,385.37
391,170.8776,395.43,385.58,387.18,384.22
392,170.964,392.15,376.47,385.06,382.88
393,170.98559999999998,389.97,379.43,390.62,379.42
394,171.0072,389.14,390.59,390.56,378.64
395,171.02880000000002,389.1,391.33,389.32,380.96
396,171.0936,388.57,394.17,387.12,380.93
397,171.11520000000002,384.56,393.85,388.02,383.15
398,171.1368,385.09,393.06,389.62,386.69
399,171.1584,387.34,396.64,389.9,387.81
400,171.18,383.59,396.47,389.33,387.12
401,171.2448,385.78,395.43,385.58,387.18
402,171.26639999999998,385.5,392.15,376.47,385.06
403,171.28799999999998,386.94,389.97,379.43,390.62
404,171.30960000000002,387.56,389.14,390.59,390.56
405,171.33120000000002,387.92,389.1,391.33,389.32
406,171.39600000000002,385.92,388.57,394.17,387.12
407,171.4176,387.71,384.56,393.85,388.02
408,171.4392,386.88,385.09,393.06,389.62
409,171.4608,386.49,387.34,396.64,389.9
410,171.48239999999998,385.9,383.59,396.47,389.33
411,171.54719999999998,387.86,385.78,395.43,385.58
412,171.56879999999998,389.2,385.5,392.15,376.47
413,171.59040000000002,388.26,386.94,389.97,379.43
414,171.61200000000002,384.47,387.56,389.14,390.59
415,171.6336,381.25,387.92,389.1,391.33
416,171.6984,379.5,385.92,388.57,394.17
417,171.72,380.67,387.71,384.56,393.85
418,171.7416,376.8,386.88,385.09,393.06
419,171.76319999999998,380.55,386.49,387.34,396.64
420,171.7848,381.45,385.9,383.59,396.47
421,171.84959999999998,386.47,387.86,385.78,395.43
422,171.8712,391.01,389.2,385.5,392.15
423,171.89280000000002,392.8,388.26,386.94,389.97
424,171.9144,391.92,384.47,387.56,389.14
425,171.936,392.5,381.25,387.92,389.1
426,172.0008,390.02,379.5,385.92,388.57
427,172.0224,387.83,380.67,387.71,384.56
428,172.044,387.94,376.8,386.88,385.09
429,172.0656,385.07,380.55,386.49,387.34
430,172.0872,384.2,381.45,385.9,383.59
431,172.152,389.52,386.47,387.86,385.78
432,172.17360000000002,391.48,391.01,389.2,385.5
433,172.1952,392.96,392.8,388.26,386.94
434,172.2168,392.45,391.92,384.47,387.56
435,172.2384,391.32,392.5,381.25,387.92
436,172.3032,390.28,390.02,379.5,385.92
437,172.3248,388.71,387.83,380.67,387.71
438,172.3464,389.97,387.94,376.8,386.88
439,172.368,393.72,385.07,380.55,386.49
440,172.3896,392.89,384.2,381.45,385.9
441,172.45440000000002,393.12,389.52,386.47,387.86
442,172.47599999999997,396.74,391.48,391.01,389.2
443,172.4976,397.41,392.96,392.8,388.26
444,172.5192,397.15,392.45,391.92,384.47
445,172.54080000000002,382.62,391.32,392.5,381.25
446,172.6056,385.24,390.28,390.02,379.5
447,172.6272,379.42,388.71,387.83,380.67
448,172.6488,378.53,389.97,387.94,376.8
449,172.6704,380.06,393.72,385.07,380.55
450,172.69199999999998,376.14,392.89,384.2,381.45
451,172.75680000000003,375.34,393.12,389.52,386.47
452,172.7784,377.96,396.74,391.48,391.01
453,172.8,376.55,397.41,392.96,392.8
454,172.8432,375.22,397.15,392.45,391.92
455,172.908,381.4,382.62,391.32,392.5
456,172.9296,380.96,385.24,390.28,390.02
457,172.9512,380.07,379.42,388.71,387.83
458,172.9728,377.39,378.53,389.97,387.94
459,172.99439999999998,379.1,380.06,393.72,385.07
460,173.05919999999998,378.26,376.14,392.89,384.2
461,173.0808,377.9,375.34,393.12,389.52
462,173.10240000000002,377.7,377.96,396.74,391.48
463,173.124,381.55,376.55,397.41,392.96
464,173.1456,384.47,375.22,397.15,392.45
465,173.2104,384.46,381.4,382.62,391.32
466,173.232,382.74,380.96,385.24,390.28
467,173.2536,383.48,380.07,379.42,388.71
468,173.27519999999998,382.52,377.39,378.53,389.97
469,173.2968,387.04,379.1,380.06,393.72
470,173.3616,396.82,378.26,376.14,392.89
471,173.38320000000002,399.33,377.9,375.34,393.12
472,173.4264,404.84,377.7,377.96,396.74
473,173.448,406.46,381.55,376.55,397.41
474,173.5128,415.14,384.47,375.22,397.15
475,173.5344,417.09,384.46,381.4,382.62
476,173.5776,417.26,382.74,380.96,385.24
477,173.5992,419.34,383.48,380.07,379.42
478,173.66400000000002,417.96,382.52,377.39,378.53
479,173.68560000000002,417.4,387.04,379.1,380.06
480,173.7072,418.1,396.82,378.26,376.14
481,173.7288,417.61,399.33,377.9,375.34
482,173.7504,415.1,404.84,377.7,377.96
483,173.8152,414.34,406.46,381.55,376.55
484,173.83679999999998,420.44,415.14,384.47,375.22
485,173.8584,420.77,417.09,384.46,381.4
486,173.88,418.21,417.26,382.74,380.96
487,173.90160000000003,418.86,419.34,383.48,380.07
488,173.96640000000002,416.36,417.96,382.52,377.39
489,173.988,412.64,417.4,387.04,379.1
490,174.0096,418.13,418.1,396.82,378.26
491,174.0312,414.96,417.61,399.33,377.9
492,174.0528,415.48,415.1,404.84,377.7
493,174.11759999999998,414.99,414.34,406.46,381.55
494,174.1392,414.96,420.44,415.14,384.47
495,174.1608,410.34,420.77,417.09,384.46
496,174.1824,411.62,418.21,417.26,382.74
497,174.20399999999998,408.79,418.86,419.34,383.48
498,174.2688,409.53,416.36,417.96,382.52
499,174.2904,413.85,412.64,417.4,387.04
500,174.312,413.84,418.13,418.1,396.82
501,174.3336,413.82,414.96,417.61,399.33
502,174.3552,411.09,415.48,415.1,404.84
503,174.42,413.77,414.99,414.34,406.46
504,174.4416,413.76,414.96,420.44,415.14
505,174.4632,417.13,410.34,420.77,417.09
506,174.48479999999998,413.69,411.62,418.21,417.26
507,174.50639999999999,412.48,408.79,418.86,419.34
508,174.5928,407.38,409.53,416.36,417.96
509,174.61440000000002,408.26,413.85,412.64,417.4
510,174.636,413.9,413.84,418.13,418.1
511,174.6576,411.46,413.82,414.96,417.61
512,174.7224,412.27,411.09,415.48,415.1
513,174.744,410.45,413.77,414.99,414.34
514,174.76559999999998,415.35,413.76,414.96,420.44
515,174.78719999999998,413.86,417.13,410.34,420.77
516,174.80880000000002,412.7,413.69,411.62,418.21
517,174.8736,412.45,412.48,408.79,418.86
518,174.89520000000002,412.85,407.38,409.53,416.36
519,174.9168,409.33,408.26,413.85,412.64
520,174.9384,406.51,413.9,413.84,418.13
521,174.96,404.44,411.46,413.82,414.96
522,175.0248,405.21,412.27,411.09,415.48
523,175.04639999999998,406.89,410.45,413.77,414.99
524,175.06799999999998,404.03,415.35,413.76,414.96
525,175.08960000000002,403.89,413.86,417.13,410.34
526,175.11120000000003,405.84,412.7,413.69,411.62
527,175.17600000000002,406.39,412.45,412.48,408.79
528,175.1976,409.58,412.85,407.38,409.53
529,175.2192,409.15,409.33,408.26,413.85
530,175.2408,409.8,406.51,413.9,413.84
531,175.26239999999999,411.3,404.44,411.46,413.82
532,175.3272,409.91,405.21,412.27,411.09
533,175.34879999999998,408.88,406.89,410.45,413.77
534,175.3704,407.52,404.03,415.35,413.76
535,175.39200000000002,407.86,403.89,413.86,417.13
536,175.4136,403.5,405.84,412.7,413.69
537,175.4784,403.0,406.39,412.45,412.48
538,175.5,403.69,409.58,412.85,407.38
539,175.5216,404.23,409.15,409.33,408.26
540,175.5432,400.5,409.8,406.51,413.9
541,175.5648,401.55,411.3,404.44,411.46
542,175.62959999999998,405.59,409.91,405.21,412.27
543,175.6512,398.06,408.88,406.89,410.45
544,175.67280000000002,394.5,407.52,404.03,415.35
545,175.69439999999997,400.64,407.86,403.89,413.86
546,175.716,404.29,403.5,405.84,412.7
547,175.7808,406.08,403.0,406.39,412.45
548,175.8024,412.39,403.69,409.58,412.85
549,175.824,416.28,404.23,409.15,409.33
550,175.8456,416.04,400.5,409.8,406.51
551,175.932,410.18,401.55,411.3,404.44
552,175.9536,410.26,405.59,409.91,405.21
553,175.97519999999997,409.81,398.06,408.88,406.89
554,175.9968,411.6,394.5,407.52,404.03
555,176.0184,409.02,400.64,407.86,403.89
556,176.0832,408.45,404.29,403.5,405.84
557,176.1048,409.11,406.08,403.0,406.39
558,176.1264,412.02,412.39,403.69,409.58
559,176.148,414.95,416.28,404.23,409.15
560,176.1696,412.53,416.04,400.5,409.8
561,176.2344,416.91,410.18,401.55,411.3
562,176.25600000000003,416.84,410.26,405.59,409.91
563,176.2776,416.79,409.81,398.06,408.88
564,176.2992,415.85,411.6,394.5,407.52
565,176.32080000000002,416.05,409.02,400.64,407.86
566,176.3856,418.49,408.45,404.29,403.5
567,176.4072,416.29,409.11,406.08,403.0
568,176.4288,416.45,412.02,412.39,403.69
569,176.4504,413.14,414.95,416.28,404.23
570,176.47199999999998,410.09,412.53,416.04,400.5
571,176.53680000000003,412.81,416.91,410.18,401.55
572,176.55839999999998,416.37,416.84,410.26,405.59
573,176.58,415.39,416.79,409.81,398.06
574,176.60160000000002,412.6,415.85,411.6,394.5
575,176.6232,414.02,416.05,409.02,400.64
576,176.7096,411.41,418.49,408.45,404.29
577,176.7312,412.17,416.29,409.11,406.08
